,location,size,total_sqft,bath,price,bhk,price_per_sqft
85,Dasanapura,2 BHK,708.0,2.0,37.0,2,5225
86,Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477
88,Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000
89,Electronic City,2 BHK,1000.0,2.0,28.88,2,2888
92,Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172
96,other,2 BHK,1200.0,2.0,65.0,2,5416
99,Chandapura,2 BHK,650.0,1.0,17.0,2,2615
101,other,2 BHK,1007.0,2.0,43.0,2,4270
102,other,2 BHK,1200.0,2.0,50.0,2,4166
103,other,2 BHK,966.0,2.0,49.9,2,5165
106,other,2 BHK,782.0,2.0,55.68,2,7120
107,Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300
110,Whitefield,2 BHK,1116.0,2.0,51.91,2,4651
116,Malleshwaram,2 BHK,1100.0,2.0,75.0,2,6818
117,Hennur Road,2 Bedroom,276.0,3.0,23.0,2,8333
123,Kadugodi,2 BHK,1050.0,2.0,34.0,2,3238
125,other,2 BHK,945.0,2.0,54.0,2,5714
126,Hormavu,2 BHK,1500.0,2.0,78.0,2,5200
130,Electronic City,2 BHK,880.0,1.0,16.5,2,1875
133,Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000
134,Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779
135,8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030
141,ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000
142,Anandapura,2 BHK,1167.0,2.0,43.76,2,3749
145,Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,3932
149,Kannamangala,2 BHK,957.0,2.0,58.0,2,6060
152,Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444
153,Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000
154,Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,4166
159,Hosa Road,2 BHK,1063.0,2.0,32.0,2,3010
163,Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500
166,Electronic City,2 BHK,1060.0,2.0,60.0,2,5660
169,Attibele,1 BHK,450.0,1.0,11.0,1,2444
170,Electronic City,2 BHK,1152.0,2.0,64.5,2,5598
175,Nagavara,1 Bedroom,400.0,1.0,14.0,1,3500
176,Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503
177,Electronic City,2 BHK,770.0,1.0,36.0,2,4675
178,Hulimavu,2 BHK,1242.0,2.0,51.0,2,4106
182,Electronic City,2 BHK,1070.0,2.0,52.0,2,4859
184,other,2 BHK,1340.0,2.0,55.7,2,4156
185,Electronic City,2 BHK,1025.0,2.0,46.0,2,4487
186,KR Puram,2 BHK,1277.5,2.0,56.8,2,4446
187,Marathahalli,2 BHK,1200.0,2.0,52.0,2,4333
192,Marathahalli,2 BHK,1200.0,2.0,60.0,2,5000
193,Yelahanka,2 BHK,1327.0,2.0,98.0,2,7385
194,Kothanur,2 BHK,1186.0,2.0,58.0,2,4890
197,Nagasandra,2 BHK,980.0,2.0,48.0,2,4897
198,EPIP Zone,2 BHK,1285.0,2.0,82.0,2,6381
200,Whitefield,2 BHK,1225.0,2.0,47.6,2,3885
201,Whitefield,2 BHK,1075.0,2.0,53.0,2,4930
205,Panathur,2 BHK,1359.0,2.0,87.0,2,6401
206,other,2 BHK,1207.0,2.0,43.5,2,3603
213,Dasarahalli,2 BHK,1295.0,2.0,65.0,2,5019
215,Electronic City,1 BHK,589.0,1.0,27.0,1,4584
221,Sarjapur  Road,2 BHK,984.0,2.0,44.28,2,4500
223,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2,6666
224,other,2 Bedroom,1500.0,2.0,115.0,2,7666
226,Dommasandra,2 BHK,805.0,2.0,22.14,2,2750
227,Budigere,2 BHK,1153.0,2.0,56.4,2,4891
228,other,2 BHK,1148.0,2.0,60.0,2,5226
229,other,2 BHK,1110.0,2.0,55.0,2,4954
230,Electronic City,2 BHK,1100.0,2.0,42.0,2,3818
231,Kalyan nagar,2 BHK,1290.0,2.0,110.0,2,8527
233,other,2 BHK,1080.0,2.0,39.0,2,3611
236,other,2 BHK,1060.0,2.0,60.0,2,5660
237,Chandapura,1 BHK,645.0,1.0,16.45,1,2550
239,Chandapura,1 BHK,645.0,1.0,16.45,1,2550
241,other,2 BHK,1285.0,2.0,72.5,2,5642
243,Electronic City,2 BHK,910.0,2.0,40.0,2,4395
247,Chandapura,2 BHK,800.0,1.0,20.0,2,2500
248,other,2 BHK,1060.0,2.0,55.0,2,5188
249,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2,7322
250,other,2 BHK,900.0,2.0,22.5,2,2500
251,other,2 Bedroom,1280.0,2.0,69.0,2,5390
253,Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2,3512
254,Electronic City,2 BHK,1108.0,2.0,63.0,2,5685
259,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2,3389
260,Budigere,2 BHK,1162.0,2.0,59.9,2,5154
261,Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2,4753
265,other,2 BHK,700.0,1.0,26.0,2,3714
267,Sarjapur,2 BHK,913.0,2.0,32.0,2,3504
269,Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2,5096
270,other,2 Bedroom,900.0,2.0,110.0,2,12222
273,Balagere,2 BHK,1210.0,2.0,80.9,2,6685
277,Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2,4006
283,Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2,3333
285,other,2 BHK,1084.0,2.0,50.0,2,4612
286,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549
287,Kanakpura Road,2 BHK,1017.0,2.0,51.25,2,5039
288,Haralur Road,2 BHK,1027.0,2.0,44.0,2,4284
289,Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2,4209
290,Hebbal,2 BHK,1349.0,2.0,98.2,2,7279
291,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2,4975
292,Jakkur,2 BHK,1417.0,2.0,75.0,2,5292
294,other,2 BHK,950.0,2.0,47.0,2,4947
298,Singasandra,2 BHK,1010.0,2.0,29.5,2,2920
302,AECS Layout,2 BHK,1100.0,2.0,45.0,2,4090
303,Kanakpura Road,1 BHK,525.0,1.0,26.0,1,4952
307,Panathur,2 BHK,1438.0,2.0,100.0,2,6954
309,Yelahanka,2 BHK,1350.0,2.0,55.55,2,4114
311,Malleshpalya,2 BHK,1140.0,2.0,46.5,2,4078
313,other,2 BHK,850.0,2.0,27.0,2,3176
314,Whitefield,2 BHK,1280.0,2.0,75.0,2,5859
315,Munnekollal,2 BHK,1170.0,2.0,52.0,2,4444
316,other,2 BHK,1113.0,2.0,51.0,2,4582
317,Hennur Road,2 BHK,1385.0,2.0,83.09,2,5999
318,Electronic City,2 BHK,1128.0,2.0,65.0,2,5762
319,Marathahalli,2 Bedroom,1200.0,2.0,128.0,2,10666
324,other,2 BHK,1200.0,2.0,55.0,2,4583
325,Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2,4333
328,Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2,6700
330,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2,6208
332,Whitefield,2 BHK,1173.0,2.0,58.0,2,4944
333,Uttarahalli,2 BHK,1020.0,2.0,45.0,2,4411
336,other,2 Bedroom,1200.0,2.0,79.0,2,6583
337,other,2 BHK,1230.0,2.0,48.0,2,3902
338,Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2,3200
339,Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2,5735
341,Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2,5416
345,Ardendale,2 BHK,1100.0,2.0,43.25,2,3931
346,Harlur,2 BHK,1508.0,2.0,77.0,2,5106
348,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2,4106
349,Electronic City Phase II,1 BHK,630.0,1.0,28.35,1,4500
352,other,2 BHK,950.0,2.0,50.0,2,5263
354,Magadi Road,2 BHK,1116.0,2.0,50.0,2,4480
355,Narayanapura,2 BHK,1308.0,2.0,89.04,2,6807
358,Bannerghatta Road,1 BHK,500.0,1.0,18.5,1,3700
359,Hennur,2 BHK,1075.0,2.0,52.0,2,4837
360,Chandapura,1 BHK,530.0,1.0,11.66,1,2200
361,Bellandur,2 BHK,1205.0,2.0,66.0,2,5477
362,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581
363,KR Puram,2 BHK,930.0,2.0,39.0,2,4193
364,Balagere,2 BHK,1380.0,2.0,60.0,2,4347
366,Kodigehaali,2 BHK,1166.0,2.0,55.0,2,4716
367,Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2,6190
369,Begur Road,2 BHK,1200.0,2.0,46.8,2,3900
372,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1,6629
376,Mahadevpura,2 BHK,1451.0,2.0,90.0,2,6202
377,Anekal,2 Bedroom,1200.0,1.0,36.0,2,3000
378,Begur Road,2 BHK,1160.0,2.0,44.0,2,3793
379,Kengeri,2 BHK,1000.0,2.0,25.0,2,2500
380,Kanakpura Road,2 BHK,950.0,2.0,40.0,2,4210
384,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2,7550
385,Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2,3999
386,Sompura,2 BHK,825.0,2.0,33.0,2,4000
388,Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2,4760
389,other,2 BHK,1460.0,2.0,58.0,2,3972
390,Doddathoguru,2 BHK,1050.0,2.0,32.0,2,3047
391,Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2,4365
393,Hosur Road,2 BHK,1656.0,2.0,120.0,2,7246
397,Battarahalli,2 Bedroom,1200.0,2.0,65.0,2,5416
399,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2,6978
400,other,2 Bedroom,1000.0,2.0,165.0,2,16500
404,Sultan Palaya,2 Bedroom,550.0,1.0,62.0,2,11272
405,other,2 BHK,1185.0,2.0,38.0,2,3206
406,Kengeri,2 BHK,750.0,2.0,38.0,2,5066
410,Billekahalli,2 BHK,1125.0,2.0,62.0,2,5511
412,Anandapura,2 Bedroom,1000.0,2.0,55.0,2,5500
413,Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2,2888
414,TC Palaya,2 Bedroom,1200.0,2.0,60.0,2,5000
416,Bommasandra,2 BHK,1060.0,2.0,26.5,2,2500
417,Ambalipura,2 BHK,1105.0,2.0,75.0,2,6787
418,Hoodi,2 BHK,985.0,2.0,67.0,2,6802
421,CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2,4910
422,other,2 BHK,1069.0,2.0,55.0,2,5144
424,Hosur Road,2 BHK,1194.0,2.0,69.0,2,5778
425,Brookefield,2 BHK,1150.0,2.0,69.0,2,6000
426,Yelenahalli,2 BHK,1240.0,2.0,47.12,2,3800
427,Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2,3389
432,Dasanapura,2 BHK,708.0,1.0,40.0,2,5649
435,Bellandur,2 BHK,1250.0,2.0,76.0,2,6080
439,Vittasandra,2 BHK,1404.0,2.0,71.0,2,5056
441,Electronic City,1 BHK,630.0,1.0,34.65,1,5500
444,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,55.47,2,4283
446,Sarjapur  Road,2 BHK,1346.0,2.0,74.03,2,5500
448,Hormavu,2 BHK,1150.0,2.0,55.0,2,4782
452,Marathahalli,2 BHK,950.0,2.0,46.96,2,4943
456,other,2 BHK,850.0,2.0,30.0,2,3529
457,Padmanabhanagar,2 BHK,1020.0,2.0,63.0,2,6176
458,Chikkalasandra,2 BHK,1100.0,2.0,50.0,2,4545
459,other,2 BHK,1150.0,2.0,126.0,2,10956
462,Akshaya Nagar,2 BHK,1070.0,2.0,54.0,2,5046
464,Vidyaranyapura,2 Bedroom,1440.0,2.0,95.0,2,6597
465,Amruthahalli,2 BHK,900.0,2.0,40.0,2,4444
467,Whitefield,2 BHK,1130.0,2.0,42.16,2,3730
468,Koramangala,2 BHK,1320.0,2.0,165.0,2,12500
469,Kodigehalli,2 BHK,1270.0,2.0,98.0,2,7716
470,other,2 BHK,1200.0,2.0,62.0,2,5166
472,other,2 BHK,1200.0,2.0,74.0,2,6166
473,Subramanyapura,2 BHK,929.0,2.0,50.17,2,5400
481,Chikkalasandra,2 BHK,1208.0,2.0,49.0,2,4056
482,Hebbal Kempapura,2 BHK,1130.0,2.0,60.0,2,5309
486,Hoodi,2 BHK,1196.0,2.0,94.42,2,7894
487,5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565
488,Electronic City,2 BHK,1128.0,2.0,63.0,2,5585
489,other,2 BHK,1000.0,2.0,53.0,2,5300
490,Yelahanka,2 BHK,1035.0,2.0,45.0,2,4347
491,Kereguddadahalli,2 BHK,950.0,2.0,32.0,2,3368
493,Whitefield,2 BHK,1040.0,2.0,48.5,2,4663
494,other,2 Bedroom,720.0,2.0,45.0,2,6250
498,Shampura,1 BHK,375.0,2.0,26.0,1,6933
499,Vidyaranyapura,2 BHK,1062.0,2.0,38.0,2,3578
500,other,2 BHK,1115.0,2.0,40.0,2,3587
501,JP Nagar,2 BHK,1000.0,2.0,35.0,2,3500
502,Kambipura,2 BHK,883.0,2.0,45.0,2,5096
503,Sarjapur  Road,2 BHK,1195.0,2.0,70.0,2,5857
505,other,1 Bedroom,700.0,1.0,41.0,1,5857
506,Vittasandra,2 BHK,1246.0,2.0,67.0,2,5377
515,other,2 BHK,1353.0,2.0,110.0,2,8130
517,Whitefield,2 BHK,1150.0,2.0,70.0,2,6086
519,KR Puram,2 BHK,1155.0,2.0,42.74,2,3700
520,other,1 BHK,1200.0,2.0,85.0,1,7083
521,Electronic City Phase II,2 BHK,1000.0,2.0,25.0,2,2500
524,Ramagondanahalli,2 BHK,1251.0,2.0,47.0,2,3756
525,other,2 BHK,1028.0,2.0,45.5,2,4426
526,Arekere,2 BHK,1222.0,2.0,45.0,2,3682
530,HSR Layout,2 BHK,1372.0,2.0,68.0,2,4956
534,Kanakpura Road,2 BHK,1135.0,2.0,39.73,2,3500
540,Uttarahalli,2 BHK,1286.0,2.0,63.0,2,4898
543,Hennur Road,2 BHK,1317.5,2.0,63.77,2,4840
545,Munnekollal,2 BHK,1102.0,2.0,53.67,2,4870
546,Yelahanka,2 BHK,1350.0,2.0,54.0,2,4000
549,other,2 Bedroom,1800.0,1.0,80.0,2,4444
550,Chikkabanavar,2 BHK,950.0,2.0,40.0,2,4210
551,Kanakpura Road,1 BHK,525.0,1.0,27.25,1,5190
552,Attibele,2 BHK,656.0,2.0,25.0,2,3810
554,other,2 BHK,1056.0,2.0,80.0,2,7575
555,Bannerghatta Road,1 BHK,595.0,1.0,33.32,1,5600
556,other,2 BHK,1080.0,2.0,50.0,2,4629
558,Bommasandra,2 BHK,1126.0,2.0,28.15,2,2500
562,other,2 BHK,1160.0,2.0,55.0,2,4741
565,Vittasandra,2 BHK,1404.0,2.0,69.3,2,4935
569,Marathahalli,2 BHK,1230.0,2.0,80.0,2,6504
570,other,2 Bedroom,1200.0,2.0,65.0,2,5416
572,Gottigere,2 BHK,967.0,2.0,45.0,2,4653
573,other,1 Bedroom,540.0,1.0,36.0,1,6666
574,Hormavu,1 BHK,715.0,1.0,46.0,1,6433
577,Mysore Road,2 BHK,1020.0,2.0,48.95,2,4799
578,Jigani,2 BHK,1020.0,2.0,40.0,2,3921
579,Koramangala,2 BHK,1253.0,2.0,102.0,2,8140
580,other,2 BHK,1180.0,2.0,42.0,2,3559
581,Nehru Nagar,2 BHK,961.0,2.0,38.0,2,3954
584,other,2 Bedroom,1600.0,2.0,115.0,2,7187
585,other,1 BHK,416.0,1.0,18.5,1,4447
586,Sanjay nagar,2 BHK,1100.0,2.0,98.0,2,8909
588,other,2 BHK,1260.0,2.0,45.0,2,3571
593,other,1 BHK,600.0,1.0,90.0,1,15000
594,other,1 BHK,834.0,1.0,60.0,1,7194
598,Gottigere,2 BHK,891.0,2.0,25.0,2,2805
599,Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,49.07,2,4330
603,Vidyaranyapura,2 BHK,1200.0,2.0,55.0,2,4583
604,Thanisandra,2 BHK,1075.0,2.0,45.8,2,4260
605,Kaggadasapura,2 BHK,1140.0,2.0,40.0,2,3508
608,Raja Rajeshwari Nagar,2 BHK,1090.0,2.0,42.0,2,3853
613,HRBR Layout,2 BHK,1374.0,2.0,95.0,2,6914
615,Kanakapura,1 BHK,711.0,1.0,36.0,1,5063
619,Kundalahalli,2 BHK,1030.0,2.0,49.0,2,4757
620,Mysore Road,2 BHK,1200.0,2.0,85.0,2,7083
622,Hegde Nagar,2 Bedroom,1050.0,1.0,56.0,2,5333
624,Bellandur,2 BHK,1000.0,2.0,50.0,2,5000
625,other,1 BHK,469.0,1.0,25.0,1,5330
627,Kambipura,2 BHK,883.0,2.0,29.0,2,3284
632,Mahadevpura,2 BHK,1225.0,2.0,48.0,2,3918
634,Chikkalasandra,2 BHK,875.0,2.0,52.8,2,6034
635,Jalahalli East,1 BHK,750.0,1.0,40.0,1,5333
636,6th Phase JP Nagar,2 BHK,1180.0,2.0,80.0,2,6779
637,Haralur Road,2 BHK,1194.0,2.0,47.0,2,3936
639,other,2 BHK,1160.0,2.0,52.2,2,4500
641,Sarjapur,2 BHK,1128.0,2.0,60.0,2,5319
644,Sarjapur  Road,2 BHK,1210.0,2.0,58.0,2,4793
649,Horamavu Agara,2 BHK,1200.0,2.0,45.0,2,3750
650,Raja Rajeshwari Nagar,2 BHK,1260.0,2.0,67.39,2,5348
652,Yelahanka,2 BHK,1132.5,2.0,48.13,2,4249
653,Yelahanka,2 BHK,1210.0,2.0,45.98,2,3800
657,other,2 BHK,1630.0,2.0,200.0,2,12269
658,Raja Rajeshwari Nagar,2 BHK,1141.0,2.0,38.55,2,3378
664,other,2 BHK,1355.0,2.0,115.0,2,8487
665,other,1 Bedroom,600.0,1.0,50.0,1,8333
671,Marathahalli,2 BHK,1019.0,2.0,49.85,2,4892
675,Whitefield,2 BHK,1140.0,2.0,56.0,2,4912
680,Varthur Road,2 BHK,1083.0,2.0,61.75,2,5701
681,other,2 Bedroom,600.0,2.0,55.0,2,9166
683,other,2 BHK,1240.0,2.0,60.0,2,4838
685,other,2 BHK,1230.0,2.0,43.48,2,3534
687,Abbigere,2 BHK,985.0,2.0,40.39,2,4100
689,Electronic City,2 BHK,1125.0,2.0,32.49,2,2888
690,other,2 BHK,950.0,2.0,44.0,2,4631
693,Electronic City Phase II,2 BHK,1090.0,2.0,28.34,2,2600
696,Kammasandra,2 BHK,810.0,2.0,24.5,2,3024
697,other,2 BHK,1045.0,2.0,45.0,2,4306
698,Hebbal,2 BHK,1337.0,2.0,82.0,2,6133
699,Chandapura,2 BHK,1200.0,2.0,32.0,2,2666
705,Kengeri,2 BHK,1160.0,2.0,40.61,2,3500
706,7th Phase JP Nagar,2 BHK,1050.0,2.0,71.0,2,6761
710,Electronic City,2 BHK,1094.0,2.0,42.0,2,3839
711,Budigere,2 BHK,1153.0,2.0,57.0,2,4943
717,other,2 BHK,1202.0,2.0,48.0,2,3993
718,Haralur Road,2 BHK,1202.0,2.0,53.0,2,4409
719,other,2 BHK,1200.0,2.0,62.5,2,5208
721,Kaval Byrasandra,2 BHK,1020.0,2.0,52.0,2,5098
722,Sarjapur,2 BHK,1185.0,2.0,47.0,2,3966
723,Ramagondanahalli,2 BHK,1235.0,2.0,52.04,2,4213
725,Banashankari,2 BHK,1077.0,2.0,37.64,2,3494
728,Whitefield,2 BHK,805.0,2.0,35.0,2,4347
729,other,1 BHK,425.0,1.0,20.03,1,4712
730,Whitefield,2 BHK,1155.0,2.0,59.95,2,5190
732,Anekal,2 BHK,656.0,2.0,22.0,2,3353
733,other,2 BHK,1100.0,2.0,48.0,2,4363
734,Mahadevpura,2 BHK,1150.0,2.0,52.0,2,4521
735,other,1 Bedroom,600.0,1.0,60.0,1,10000
736,other,2 BHK,1468.0,2.0,140.0,2,9536
739,Hegde Nagar,2 BHK,1341.0,2.0,97.0,2,7233
740,Jakkur,2 BHK,1279.0,2.0,77.0,2,6020
742,Thanisandra,2 BHK,1185.0,2.0,43.51,2,3671
744,Kudlu,2 BHK,1152.0,2.0,53.5,2,4644
746,Hulimavu,2 BHK,1300.0,2.0,36.0,2,2769
748,5th Phase JP Nagar,2 BHK,1070.0,2.0,39.0,2,3644
749,Uttarahalli,2 BHK,1101.0,2.0,45.0,2,4087
750,other,2 BHK,775.0,2.0,55.0,2,7096
751,Yeshwanthpur,1 BHK,667.0,1.0,36.85,1,5524
752,Electronic City,2 BHK,1070.0,2.0,55.0,2,5140
754,Kundalahalli,2 BHK,735.0,2.0,57.99,2,7889
757,Marathahalli,2 BHK,1215.0,2.0,67.0,2,5514
759,Vishwapriya Layout,2 BHK,820.0,2.0,30.0,2,3658
760,Banashankari Stage VI,2 BHK,1177.5,2.0,59.935,2,5090
762,other,2 BHK,1105.0,2.0,58.0,2,5248
764,Jalahalli,2 BHK,1694.0,2.0,150.0,2,8854
767,Kammasandra,2 BHK,674.0,2.0,33.0,2,4896
768,Kaggadasapura,2 BHK,1185.0,2.0,41.0,2,3459
769,Thanisandra,1 RK,445.0,1.0,28.0,1,6292
773,Koramangala,2 BHK,1120.0,2.0,65.0,2,5803
778,Bannerghatta Road,2 BHK,1179.0,2.0,66.02,2,5599
779,Thanisandra,2 BHK,1296.0,2.0,83.0,2,6404
780,Kaggadasapura,2 BHK,1275.0,2.0,52.0,2,4078
783,Gottigere,2 BHK,1222.0,2.0,63.0,2,5155
784,Electronic City,2 BHK,940.0,2.0,41.0,2,4361
785,Thanisandra,2 BHK,1185.0,2.0,42.6,2,3594
788,Haralur Road,2 BHK,1056.0,2.0,61.0,2,5776
789,7th Phase JP Nagar,2 BHK,1100.0,2.0,46.0,2,4181
790,Arekere,2 BHK,920.0,2.0,40.0,2,4347
792,Padmanabhanagar,2 BHK,1176.0,2.0,62.0,2,5272
797,Vittasandra,2 BHK,1246.0,2.0,67.3,2,5401
798,Anandapura,2 BHK,1141.0,2.0,42.79,2,3750
799,Hennur Road,2 BHK,1157.0,2.0,84.0,2,7260
800,Chandapura,2 BHK,1025.0,2.0,27.68,2,2700
801,Yelahanka New Town,1 BHK,650.0,1.0,33.0,1,5076
802,Hebbal,2 BHK,1349.0,2.0,98.0,2,7264
807,Varthur,2 BHK,1091.0,2.0,34.9,2,3198
809,7th Phase JP Nagar,2 BHK,918.0,2.0,50.49,2,5500
814,Kanakpura Road,1 BHK,525.0,1.0,30.0,1,5714
815,Whitefield,2 BHK,1447.0,2.0,83.0,2,5736
816,Thanisandra,2 BHK,1114.0,2.0,39.0,2,3500
818,other,2 BHK,460.0,1.0,15.0,2,3260
819,Vasanthapura,2 BHK,1022.0,2.0,40.0,2,3913
820,Hebbal,2 BHK,1000.0,2.0,45.0,2,4500
821,Electronic City,2 BHK,1128.0,2.0,68.75,2,6094
822,Kanakpura Road,2 BHK,1180.0,2.0,57.0,2,4830
824,Nagarbhavi,2 Bedroom,1200.0,2.0,150.0,2,12500
826,Kanakpura Road,2 BHK,1339.0,2.0,75.0,2,5601
828,7th Phase JP Nagar,2 BHK,1040.0,2.0,39.52,2,3800
829,Kadugodi,2 BHK,1198.0,2.0,58.0,2,4841
835,Bannerghatta Road,2 BHK,1122.5,2.0,58.935,2,5250
838,Brookefield,2 BHK,1142.0,2.0,70.0,2,6129
843,Kasturi Nagar,2 BHK,1567.0,2.0,92.0,2,5871
844,Talaghattapura,2 BHK,1090.0,2.0,27.24,2,2499
847,Electronics City Phase 1,2 BHK,1175.0,2.0,51.47,2,4380
848,Subramanyapura,2 BHK,1200.0,2.0,52.0,2,4333
849,Kodichikkanahalli,2 BHK,995.0,2.0,41.0,2,4120
850,Magadi Road,2 BHK,884.0,2.0,41.1,2,4649
852,Yeshwanthpur,2 BHK,1170.0,2.0,57.0,2,4871
853,KR Puram,2 BHK,1225.0,2.0,46.55,2,3800
854,Electronic City,2 BHK,1342.0,2.0,73.3,2,5461
855,Uttarahalli,2 BHK,1345.0,2.0,67.0,2,4981
857,Raja Rajeshwari Nagar,2 BHK,1140.0,2.0,49.39,2,4332
858,Battarahalli,2 BHK,1300.0,2.0,50.0,2,3846
865,Sarjapur  Road,2 BHK,1278.0,2.0,95.0,2,7433
866,Electronic City Phase II,1 BHK,630.0,1.0,40.0,1,6349
870,Chandapura,1 BHK,582.5,1.0,15.135,1,2598
871,Chandapura,2 BHK,1015.0,2.0,25.88,2,2549
875,other,2 BHK,823.0,2.0,28.0,2,3402
877,Ramamurthy Nagar,2 BHK,1050.0,2.0,37.0,2,3523
878,other,2 BHK,1180.0,2.0,69.0,2,5847
879,Whitefield,2 BHK,1116.0,2.0,51.91,2,4651
880,7th Phase JP Nagar,2 BHK,1070.0,2.0,42.79,2,3999
881,Varthur,2 BHK,1385.0,2.0,80.0,2,5776
882,Varthur,1 Bedroom,1000.0,1.0,70.0,1,7000
884,Magadi Road,2 BHK,1005.0,2.0,55.78,2,5550
886,Subramanyapura,2 BHK,975.0,2.0,65.0,2,6666
